interaction_id,source,target,ligand_complex,receptor_complex,n_patients,spearman_rho,spearman_ci95_low,spearman_ci95_high,p_value,fdr_q_value
Plasma Cells|Non-classical Monocytes|ADAM17|RHBDF2,Plasma Cells,Non-classical Monocytes,ADAM17,RHBDF2,16,-0.05838495902563427,-0.5385121112889566,0.4503623718415766,0.8299406319408686,0.9533121630158382
Non-classical Monocytes|CD4 T Cells|TNFSF12|TNFRSF25,Non-classical Monocytes,CD4 T Cells,TNFSF12,TNFRSF25,9,-0.08392543274162825,-0.7085619633428271,0.6144524712913918,0.8300288625765117,0.9533294561973723
CD4 T Cells|CD8 T Cells|ADAM17|ITGB1,CD4 T Cells,CD8 T Cells,ADAM17,ITGB1,8,0.09097816785925636,-0.6557429353896657,0.7477222880514549,0.8303548838919383,0.9533677119365623
Non-classical Monocytes|Plasma Cells|HLA-C|LILRB1,Non-classical Monocytes,Plasma Cells,HLA-C,LILRB1,15,-0.06057340560268407,-0.5556035565823416,0.4661621026460097,0.830201693713261,0.9533677119365623
NK Cells|B Cells|ADAM17|RHBDF2,NK Cells,B Cells,ADAM17,RHBDF2,8,-0.09097816785925636,-0.7477222880514549,0.6557429353896657,0.8303548838919383,0.9533677119365623
pDCs|CD4 T Cells|TIMP1|CD63,pDCs,CD4 T Cells,TIMP1,CD63,16,-0.05828499825165131,-0.5384408924800257,0.45044232642842713,0.8302278438976011,0.9533677119365623
pDCs|CD8 T Cells|CD58|CD2,pDCs,CD8 T Cells,CD58,CD2,9,0.08368274087557231,-0.6146045799903063,0.7084402415716444,0.8305146353314998,0.9534124656598189
cDCs|CD8 T Cells|IL1B|ADRB2,cDCs,CD8 T Cells,IL1B,ADRB2,16,0.058176285036548356,-0.4505292724775519,0.5383634300531986,0.830540226648241,0.9534124656598189
pDCs|CD4 T Cells|ADAM17|ITGB1,pDCs,CD4 T Cells,ADAM17,ITGB1,17,0.05608157007552116,-0.43633225142245097,0.5226454492882961,0.8307148980627822,0.9534642504560519
Plasma Cells|Plasma Cells|HLA-E|CD8A,Plasma Cells,Plasma Cells,HLA-E,CD8A,10,-0.07784989441615228,-0.6744260807448467,0.580225525384344,0.8307317091592451,0.9534642504560519
Non-classical Monocytes|IFN-stimulated T Cells|F13A1|ITGA4,Non-classical Monocytes,IFN-stimulated T Cells,F13A1,ITGA4,9,-0.08338467858363519,-0.7082906979692528,0.6147913214389641,0.8311113056523508,0.9538158994044068
IFN-stimulated T Cells|cDCs|HMGB1|HAVCR2,IFN-stimulated T Cells,cDCs,HMGB1,HAVCR2,24,-0.04592159771897918,-0.441152570096346,0.36422900684288684,0.831271367793158,0.9539155623719953
Plasma Cells|IFN-stimulated T Cells|VCAN|ITGA4,Plasma Cells,IFN-stimulated T Cells,VCAN,ITGA4,8,-0.09036144578313252,-0.7474479867708488,0.656097237116937,0.8314923030626543,0.9539193416309332
CD4 T Cells|IFN-stimulated T Cells|S100A9|ITGB2,CD4 T Cells,IFN-stimulated T Cells,S100A9,ITGB2,23,0.04695250192608284,-0.37246513797742337,0.4504433751489551,0.8315329919990427,0.9539193416309332
