interaction_id,source,target,ligand_complex,receptor_complex,n_patients,spearman_rho,spearman_ci95_low,spearman_ci95_high,p_value,fdr_q_value
pDCs|CD4 T Cells|HLA-F|CD8B,pDCs,CD4 T Cells,HLA-F,CD8B,5,0.9176629354822471,0.18590410548666542,0.9946434459365898,0.028008456010146135,0.6028169555548537
Non-classical Monocytes|B Cells|TIMP1|CD63,Non-classical Monocytes,B Cells,TIMP1,CD63,6,0.8986451052612952,0.32168663662308394,0.9889560311203527,0.014888622005580315,0.6028169555548537
NK Cells|pDCs|S100A9|CD68,NK Cells,pDCs,S100A9,CD68,5,0.8999999999999998,0.08607666220616547,0.9934378491141874,0.03738607346849874,0.6028169555548537
CD4 T Cells|Classical Monocytes|HLA-C|LILRB2,CD4 T Cells,Classical Monocytes,HLA-C,LILRB2,7,0.8648999641877367,0.32074165423011425,0.9797975739037158,0.011965034552489668,0.6028169555548537
CD4 T Cells|Classical Monocytes|ICAM2|ITGAM_ITGB2,CD4 T Cells,Classical Monocytes,ICAM2,ITGAM_ITGB2,7,0.8288624656799143,0.20168747528590764,0.9739810351092203,0.021173515581004283,0.6028169555548537
pDCs|NK Cells|POMC|ADRB2,pDCs,NK Cells,POMC,ADRB2,5,-0.9746794344808964,-0.9983972870630408,-0.6597342472130808,0.0048182304681985335,0.6028169555548537
B Cells|CD8 T Cells|HLA-DPA1|LAG3,B Cells,CD8 T Cells,HLA-DPA1,LAG3,7,0.8108437164260032,0.14838365380415272,0.9709992600551484,0.026916328843161995,0.6028169555548537
NK Cells|Non-classical Monocytes|SPON2|ITGAM,NK Cells,Non-classical Monocytes,SPON2,ITGAM,7,0.8108437164260032,0.14838365380415272,0.9709992600551484,0.026916328843161995,0.6028169555548537
pDCs|CD4 T Cells|CD59|CD2,pDCs,CD4 T Cells,CD59,CD2,6,-0.8986451052612952,-0.9889560311203527,-0.32168663662308394,0.014888622005580315,0.6028169555548537
CD8 T Cells|CD8 T Cells|CD48|CD2,CD8 T Cells,CD8 T Cells,CD48,CD2,7,0.8108437164260032,0.14838365380415272,0.9709992600551484,0.026916328843161995,0.6028169555548537
CD8 T Cells|Classical Monocytes|GNAS|ADCY7,CD8 T Cells,Classical Monocytes,GNAS,ADCY7,7,0.792824967172092,0.09866983040838241,0.967966815790754,0.03344354374054152,0.6028169555548537
CD8 T Cells|Classical Monocytes|HLA-C|LILRA1,CD8 T Cells,Classical Monocytes,HLA-C,LILRA1,5,0.8999999999999998,0.08607666220616547,0.9934378491141874,0.03738607346849874,0.6028169555548537
CD8 T Cells|Classical Monocytes|HLA-C|LILRB2,CD8 T Cells,Classical Monocytes,HLA-C,LILRB2,7,0.8648999641877367,0.32074165423011425,0.9797975739037158,0.011965034552489668,0.6028169555548537
Non-classical Monocytes|B Cells|LGALS9|CD44,Non-classical Monocytes,B Cells,LGALS9,CD44,7,0.8108437164260032,0.14838365380415272,0.9709992600551484,0.026916328843161995,0.6028169555548537
NK Cells|Non-classical Monocytes|GNAI2|ADCY7,NK Cells,Non-classical Monocytes,GNAI2,ADCY7,7,0.9145291883606756,0.5186754670516788,0.9875018368276959,0.003915772683910753,0.6028169555548537
B Cells|CD8 T Cells|HLA-DPB1|LAG3,B Cells,CD8 T Cells,HLA-DPB1,LAG3,7,0.8468812149338255,0.2589847298219967,0.9769134003812925,0.01619712746787163,0.6028169555548537
B Cells|CD8 T Cells|HLA-DQA1|LAG3,B Cells,CD8 T Cells,HLA-DQA1,LAG3,7,0.8108437164260032,0.14838365380415272,0.9709992600551484,0.026916328843161995,0.6028169555548537
B Cells|CD8 T Cells|HLA-DRA|LAG3,B Cells,CD8 T Cells,HLA-DRA,LAG3,7,0.7748062179181807,0.05219514224523714,0.9648823997180725,0.040769462520420366,0.6028169555548537
pDCs|pDCs|ARF1|INSR,pDCs,pDCs,ARF1,INSR,5,-0.8999999999999998,-0.9934378491141874,-0.08607666220616547,0.03738607346849874,0.6028169555548537
NK Cells|Non-classical Monocytes|HLA-DRB1|CD4,NK Cells,Non-classical Monocytes,HLA-DRB1,CD4,7,-0.900937462695559,-0.9854260208889527,-0.45989297948985575,0.00562058671534502,0.6028169555548537
