group,names,scores,logfoldchanges,pvals,pvals_adj
3,CD79B,227.38145,5.279157,0.0,0.0
3,HLA-DQA1,225.26195,5.3152003,0.0,0.0
3,HLA-DMA,174.92632,3.3266122,0.0,0.0
3,TCL1A,159.38399,6.9347744,0.0,0.0
3,LINC00926,156.12436,7.2189445,0.0,0.0
3,LAPTM5,153.60138,1.2805508,0.0,0.0
3,RPS11,149.99107,0.8320273,0.0,0.0
3,HLA-DMB,149.70865,3.5777843,0.0,0.0
3,CD52,147.56967,1.1869224,0.0,0.0
3,CXCR4,146.60136,1.583039,0.0,0.0
3,VPREB3,146.47331,7.5201406,0.0,0.0
4,LTB,160.27213,2.0922492,0.0,0.0
4,IL32,151.9635,2.1546335,0.0,0.0
4,CD52,116.29551,1.0191439,0.0,0.0
4,IL7R,103.119225,1.5936902,0.0,0.0
4,CD3D,102.48158,1.4022362,0.0,0.0
4,LDHB,102.12618,1.2263494,0.0,0.0
4,ITGB1,96.98634,2.0475273,0.0,0.0
4,CRIP1,94.279205,1.4016616,0.0,0.0
4,KLRB1,93.5324,2.221864,0.0,0.0
4,CD3E,90.72754,1.2653704,0.0,0.0
4,CD2,90.184845,1.4582354,0.0,0.0
4,GSTK1,89.86346,1.1726191,0.0,0.0
4,RPL41,89.82543,0.29781678,0.0,0.0
4,FXYD5,89.16882,0.8743633,0.0,0.0
4,RPS29,86.348694,0.4977285,0.0,0.0
4,RPL36,85.32209,0.3969241,0.0,0.0
4,CD69,83.219894,1.1066351,0.0,0.0
4,B2M,82.65222,0.31153923,0.0,0.0
4,KLF6,81.41928,1.056343,0.0,0.0
4,HINT1,77.98473,0.73450637,0.0,0.0
5,CCL5,244.85576,5.834243,0.0,0.0
5,NKG7,234.97319,5.5916233,0.0,0.0
5,CST7,212.47037,4.586253,0.0,0.0
5,GZMH,209.43207,5.635062,0.0,0.0
5,B2M,204.01646,0.9344704,0.0,0.0
5,GZMA,199.60484,4.370093,0.0,0.0
5,HLA-C,189.06955,1.2215731,0.0,0.0
5,HLA-B,176.21121,1.0458057,0.0,0.0
5,HLA-A,173.20122,1.0730212,0.0,0.0
5,IL32,172.76515,2.5325902,0.0,0.0
5,CTSW,163.3663,3.168054,0.0,0.0
5,FGFBP2,159.4151,4.309256,0.0,0.0
5,CCL4,158.23819,3.7568047,0.0,0.0
5,HCST,157.04922,1.8596851,0.0,0.0
5,CD99,151.14946,2.26058,0.0,0.0
5,CD3D,151.01768,2.0091197,0.0,0.0
5,GNLY,143.84743,3.7762887,0.0,0.0
5,PFN1,142.46716,1.0797026,0.0,0.0
5,CD52,137.05022,1.1886666,0.0,0.0
5,GZMM,135.08684,2.4243252,0.0,0.0
6,GNLY,204.10521,6.8628078,0.0,0.0
6,NKG7,201.15263,5.918216,0.0,0.0
6,CTSW,187.64056,4.5122833,0.0,0.0
6,GZMB,184.19945,5.8902335,0.0,0.0
6,CST7,183.32314,4.8423305,0.0,0.0
6,PRF1,181.2882,5.5147243,0.0,0.0
