sample,cluster,assigned_cell_type,excluded,n_cells
GSM4029925_JB18072,10,Platelets,True,8
GSM4029925_JB18072,11,Plasma Cells,False,19
GSM4029925_JB18072,12,IFN-stimulated T Cells,False,24
GSM4029925_JB18072,13,pDCs,False,12
GSM4029925_JB18072,2,Classical Monocytes,False,1293
GSM4029925_JB18072,3,B Cells,False,614
GSM4029925_JB18072,4,CD4 T Cells,False,574
GSM4029925_JB18072,5,CD8 T Cells,False,436
GSM4029925_JB18072,6,NK Cells,False,158
GSM4029925_JB18072,7,Non-classical Monocytes,False,393
GSM4029925_JB18072,8,cDCs,False,72
GSM4029925_JB18072,9,RBCs,True,2
GSM4029926_JB18073,0,Ribosomal/Low-quality,True,1231
GSM4029926_JB18073,1,Ribosomal/Low-quality,True,890
GSM4029926_JB18073,10,Platelets,True,13
GSM4029926_JB18073,11,Plasma Cells,False,46
GSM4029926_JB18073,12,IFN-stimulated T Cells,False,65
GSM4029926_JB18073,13,pDCs,False,13
GSM4029926_JB18073,2,Classical Monocytes,False,784
GSM4029926_JB18073,3,B Cells,False,842
GSM4029926_JB18073,4,CD4 T Cells,False,636
GSM4029926_JB18073,5,CD8 T Cells,False,308
GSM4029926_JB18073,6,NK Cells,False,241
GSM4029926_JB18073,7,Non-classical Monocytes,False,435
GSM4029926_JB18073,8,cDCs,False,30
GSM4029926_JB18073,9,RBCs,True,4
GSM4029927_JB18074,0,Ribosomal/Low-quality,True,1013
GSM4029927_JB18074,1,Ribosomal/Low-quality,True,800
GSM4029927_JB18074,10,Platelets,True,26
GSM4029927_JB18074,11,Plasma Cells,False,171
GSM4029927_JB18074,12,IFN-stimulated T Cells,False,53
GSM4029927_JB18074,13,pDCs,False,18
GSM4029927_JB18074,2,Classical Monocytes,False,1086
GSM4029927_JB18074,3,B Cells,False,697
GSM4029927_JB18074,4,CD4 T Cells,False,656
GSM4029927_JB18074,5,CD8 T Cells,False,639
GSM4029927_JB18074,6,NK Cells,False,289
GSM4029927_JB18074,7,Non-classical Monocytes,False,298
