sample,cell_type,n_cells,proportion_within_sample
GSM4029935_JB18082,IFN-stimulated T Cells,31,0.007144503341783821
GSM4029935_JB18082,NK Cells,350,0.0806637474072367
GSM4029935_JB18082,Non-classical Monocytes,201,0.046324037796727356
GSM4029935_JB18082,Plasma Cells,13,0.0029960820465545056
GSM4029935_JB18082,cDCs,50,0.011523392486748099
GSM4029935_JB18082,pDCs,30,0.006914035492048859
GSM4029936_JB18085,B Cells,1034,0.3505084745762712
GSM4029936_JB18085,CD4 T Cells,1004,0.3403389830508475
GSM4029936_JB18085,CD8 T Cells,200,0.06779661016949153
GSM4029936_JB18085,Classical Monocytes,260,0.08813559322033898
GSM4029936_JB18085,IFN-stimulated T Cells,9,0.0030508474576271187
GSM4029936_JB18085,NK Cells,279,0.09457627118644067
GSM4029936_JB18085,Non-classical Monocytes,118,0.04
GSM4029936_JB18085,Plasma Cells,21,0.00711864406779661
GSM4029936_JB18085,cDCs,17,0.00576271186440678
GSM4029936_JB18085,pDCs,8,0.002711864406779661
GSM4029937_JB18086,B Cells,743,0.22784421956455075
GSM4029937_JB18086,CD4 T Cells,705,0.21619135234590617
GSM4029937_JB18086,CD8 T Cells,303,0.09291628334866606
GSM4029937_JB18086,Classical Monocytes,673,0.20637841153020545
GSM4029937_JB18086,IFN-stimulated T Cells,6,0.0018399264029438822
GSM4029937_JB18086,NK Cells,523,0.1603802514566084
GSM4029937_JB18086,Non-classical Monocytes,208,0.06378411530205458
GSM4029937_JB18086,Plasma Cells,20,0.0061330880098129405
GSM4029937_JB18086,cDCs,56,0.017172646427476235
GSM4029937_JB18086,pDCs,24,0.007359705611775529
GSM4029938_JB18083,B Cells,735,0.18023540951446787
GSM4029938_JB18083,CD4 T Cells,785,0.19249632172633643
GSM4029938_JB18083,CD8 T Cells,733,0.17974497302599313
GSM4029938_JB18083,Classical Monocytes,341,0.0836194212849436
GSM4029938_JB18083,IFN-stimulated T Cells,13,0.0031878371750858263
GSM4029938_JB18083,NK Cells,1168,0.2864149092692496
GSM4029938_JB18083,Non-classical Monocytes,144,0.03531142717018146
GSM4029938_JB18083,Plasma Cells,34,0.008337420304070623
GSM4029938_JB18083,cDCs,66,0.016184404119666502
GSM4029938_JB18083,pDCs,59,0.014467876410004904
GSM4029939_JB18084,B Cells,863,0.22270967741935485
GSM4029939_JB18084,CD4 T Cells,847,0.21858064516129033
GSM4029939_JB18084,CD8 T Cells,373,0.09625806451612903
GSM4029939_JB18084,Classical Monocytes,751,0.19380645161290322
GSM4029939_JB18084,IFN-stimulated T Cells,17,0.004387096774193549
GSM4029939_JB18084,NK Cells,690,0.17806451612903226
GSM4029939_JB18084,Non-classical Monocytes,224,0.05780645161290322
GSM4029939_JB18084,Plasma Cells,20,0.005161290322580645
GSM4029939_JB18084,cDCs,69,0.017806451612903226
GSM4029939_JB18084,pDCs,21,0.005419354838709678
