group,names,scores,logfoldchanges,pvals,pvals_adj
13,ACTG1,19.059214,2.8380592,5.5097470138897245e-81,7.48003254605669e-77
13,PFN1,18.323309,1.9403784,5.393098067671235e-75,3.6608349683352345e-71
13,ARHGDIB,18.016005,1.8344247,1.4590936290872159e-72,6.602885036162681e-69
13,CORO1A,17.444305,2.043582,3.803113336394047e-68,1.2907766663721396e-64
13,ACTB,17.210472,1.7632687,2.2162102168216822e-66,6.017453980714232e-63
13,CFL1,17.116821,1.7409191,1.1118332609873026e-65,2.51570805852727e-62
13,MT2A,16.429873,3.254217,1.1690558915919348e-60,2.2673003977503012e-57
13,TMSB4X,16.237835,1.1502639,2.723688972781161e-59,4.6221001868096305e-56
13,GAPDH,15.484168,2.1937337,4.437639508641096e-54,5.476853997210138e-51
13,ARPC2,15.093144,1.800424,1.796727573730215e-51,2.0326977950801167e-48
13,GZMK,14.933937,4.494377,1.9820872877389406e-50,2.0699090014110659e-47
13,PPP1CA,14.863536,2.338668,5.684415042116383e-50,5.51225847226943e-47
13,CNN2,14.811293,2.800894,1.2383626492675715e-49,1.0507507079035345e-46
13,CD99,14.259347,2.3539128,3.92107162617822e-46,3.1313216704115005e-43
13,COTL1,14.116836,2.500053,2.991262710424797e-45,2.2560768087070583e-42
13,PSMB8,14.018099,2.4506068,1.208081231066385e-44,8.200455396478621e-42
13,SLC25A5,14.010581,2.2929265,1.3430203440757625e-44,8.682306757701216e-42
13,CLIC1,13.946586,2.1992538,3.300313813515509e-44,2.0365936514675703e-41
13,MYL6,13.911915,1.4871384,5.362423161330349e-44,3.165228558183514e-41
13,H2AFV,13.882969,2.540935,8.034542459798803e-44,4.5448728514261894e-41
14,HBA2,12.373644,9.880914,3.6297309054287107e-35,1.7663732509500058e-31
14,HBA1,12.371453,9.4852,3.730084659756184e-35,1.7663732509500058e-31
14,HBB,12.367807,10.189057,3.9032997590232894e-35,1.7663732509500058e-31
14,S100A9,9.205757,4.233277,3.392709516213127e-20,7.806682100357527e-18
14,LST1,8.992259,3.4415076,2.4220005458244034e-19,5.137668657830016e-17
14,FTL,8.665583,2.0651665,4.4920939124756615e-18,8.712095279395654e-16
14,S100A8,8.656869,4.137479,4.848984979704592e-18,9.143030567287436e-16
14,CTSS,8.63696,2.9930806,5.772845152848972e-18,1.059083051284833e-15
14,CST3,8.620979,3.6326308,6.63836453075788e-18,1.201632491594253e-15
14,LYZ,8.383289,4.149472,5.14685815788246e-17,8.521188579440521e-15
14,S100A6,8.261787,2.0011399,1.4350756648735137e-16,2.3472996658220267e-14
14,FCN1,8.243469,3.3261364,1.6728839342836427e-16,2.703699082361278e-14
14,S100A11,8.10977,2.5977175,5.07157324209191e-16,8.006009108679043e-14
14,SAT1,8.058157,2.4745018,7.745319480093195e-16,1.1814658119297215e-13
14,AIF1,7.9230556,2.9502797,2.3174403067993767e-15,3.3829644736675635e-13
14,CSTA,7.8960176,3.0299635,2.8795598981276045e-15,4.158819699678762e-13
14,FTH1,7.8208437,1.4050864,5.247047695690723e-15,7.34370304295848e-13
14,RP11-1143G9.4,7.7262316,3.817209,1.1077717443971685e-14,1.4890207130629663e-12
14,MNDA,7.6964197,2.910149,1.3993161931531863e-14,1.8624624155144763e-12
14,LGALS1,7.6700535,2.6508532,1.719248638155807e-14,2.2660698554954598e-12
