cohort,review_group,label,gene,cells,fraction_detected,mean_log_expression
child,restored,CD8 T Cells,CD3D,32084,1.0,2.0190957
child,restored,CD8 T Cells,CD3E,32084,1.0,1.9845717
child,restored,CD8 T Cells,CD4,32084,0.016051614511906245,0.018421758
child,restored,CD8 T Cells,IL7R,32084,0.7625919461413789,1.3981832
child,restored,CD8 T Cells,CCR7,32084,0.5946577733449695,0.92745566
child,restored,CD8 T Cells,TCF7,32084,0.5813177907991522,0.8603062
child,restored,CD8 T Cells,LEF1,32084,0.5290799152225408,0.7772385
child,restored,CD8 T Cells,CD8A,32084,0.6529734447076424,1.0237551
child,restored,CD8 T Cells,CD8B,32084,0.8721169430245606,1.6833779
child,restored,CD8 T Cells,NKG7,32084,0.2615322279017579,0.37290207
child,restored,CD8 T Cells,CCL5,32084,0.19386610148360553,0.39884537
child,restored,CD8 T Cells,GZMK,32084,0.0714063084403441,0.14750496
child,restored,CD8 T Cells,PRF1,32084,0.06520383992020945,0.08032468
child,restored,CD8 T Cells,GNLY,32084,0.2356626355815983,0.31519848
child,restored,CD8 T Cells,MS4A1,32084,0.023064455803515772,0.02768793
child,restored,CD8 T Cells,CD79A,32084,0.14384116693679092,0.17870095
child,restored,CD8 T Cells,CD79B,32084,0.06108963969579853,0.07390569
child,restored,CD8 T Cells,LYZ,32084,0.35397706021693054,0.4987784
child,restored,CD8 T Cells,LST1,32084,0.175539209574866,0.21857852
child,restored,CD8 T Cells,FCN1,32084,0.0861800274280015,0.10612363
child,restored,CD8 T Cells,S100A8,32084,0.34375389602293976,0.49239755
child,restored,CD8 T Cells,S100A9,32084,0.43024560528612393,0.6576841
child,restored,CD8 T Cells,PPBP,32084,0.021973569380376513,0.026160946
child,restored,CD8 T Cells,PF4,32084,0.011282882433611769,0.01358255
child,restored,CD8 T Cells,HBA1,32084,0.10653285126542825,0.17839736
adult,excluded_unrestored,Ribosomal/Low-quality,CD3D,8915,0.5578238923163208,1.166349
adult,excluded_unrestored,Ribosomal/Low-quality,CD3E,8915,0.5518788558609086,1.1256814
adult,excluded_unrestored,Ribosomal/Low-quality,CD4,8915,0.117106001121705,0.17819494
adult,excluded_unrestored,Ribosomal/Low-quality,IL7R,8915,0.6395961862030286,1.2468323
adult,excluded_unrestored,Ribosomal/Low-quality,CCR7,8915,0.4621424565339316,0.8067745
adult,excluded_unrestored,Ribosomal/Low-quality,TCF7,8915,0.4260235558048233,0.7093462
adult,excluded_unrestored,Ribosomal/Low-quality,LEF1,8915,0.45675827257431295,0.7818227
adult,excluded_unrestored,Ribosomal/Low-quality,CD8A,8915,0.10588895120583286,0.16728587
adult,excluded_unrestored,Ribosomal/Low-quality,CD8B,8915,0.16545148625911385,0.31202438
adult,excluded_unrestored,Ribosomal/Low-quality,NKG7,8915,0.11991026360067303,0.18143354
