cohort,sample,review_group,label,cells,n_genes_by_counts_median,total_counts_median,pct_counts_mt_median,doublet_score_median,ribosomal_percent_retained_genes_median,reference_probability_median,nonT_multimarker_flag_fraction,CD8_both_detected_fraction,same_restoration_gate_fraction,p08_fraction
child,GSM4029897_JB17002,other,IFN-stimulated T Cells,29,854.0,2378.0,1.8266356692128864,0.0549110595514307,40.597454,0.93841622898012,0.41379310344827586,0.034482758620689655,0.6551724137931034,0.7241379310344828
child,GSM4029897_JB17002,other,NK Cells,108,1193.5,2600.0,2.8020352636685013,0.0375489081878211,17.7670515,0.9974162508581619,0.37962962962962965,0.009259259259259259,0.009259259259259259,0.8333333333333334
child,GSM4029897_JB17002,other,Non-classical Monocytes,351,1364.0,3852.0,3.081298885991941,0.0331845526877547,19.89051,0.9814083651275368,0.9971509971509972,0.0,0.0,0.7749287749287749
child,GSM4029897_JB17002,other,Plasma Cells,2,1553.5,8858.0,9.144872592520604,0.06205832586841835,19.206609,0.7652196859747173,1.0,0.0,0.0,0.5
child,GSM4029897_JB17002,other,Platelets,5,891.0,2538.0,1.5408320493066257,0.0410245278923377,28.67133,0.983416301373514,0.8,0.0,0.4,0.8
child,GSM4029897_JB17002,other,RBCs,6,395.0,688.0,11.337052062204192,0.025479670173977897,10.436364,0.18979995588451953,0.5,0.0,0.0,0.16666666666666666
child,GSM4029897_JB17002,other,cDCs,54,2045.0,7166.5,3.222378843445028,0.0693069306930692,25.1804045,0.7203560870098298,1.0,0.037037037037037035,0.0,0.3888888888888889
child,GSM4029897_JB17002,other,pDCs,25,1702.0,4993.0,2.344273275284662,0.0854760250173731,29.356136,0.9712842477739392,0.72,0.0,0.0,0.92
child,GSM4029897_JB17002,restored,CD4 T Cells,423,814.0,2240.0,1.7067833698030634,0.0549110595514307,42.028984,0.956725496275556,0.3404255319148936,0.014184397163120567,1.0,0.8156028368794326
child,GSM4029897_JB17002,restored,CD8 T Cells,530,920.5,2696.5,2.278257812994048,0.052896725440806,42.99138,0.9595553108754443,0.38301886792452833,0.4320754716981132,1.0,0.8226415094339623
child,GSM4029898_JB17003,excluded_unrestored,Ribosomal/Low-quality,426,959.0,2435.0,1.6871567023899616,0.0476451259583789,37.851945,0.9191842519060465,0.5070422535211268,0.18309859154929578,0.0,0.636150234741784
child,GSM4029898_JB17003,original_T,CD4 T Cells,301,1170.0,2998.0,1.6587677725118484,0.0618158403090792,31.216755,0.7753019869496197,0.6511627906976745,0.029900332225913623,0.6179401993355482,0.4684385382059801
child,GSM4029898_JB17003,original_T,CD8 T Cells,308,1146.5,2611.0,1.7452061099712424,0.0236583958453548,24.43377,0.7755735236143095,0.5811688311688312,0.5162337662337663,0.5454545454545454,0.4707792207792208
child,GSM4029898_JB17003,other,B Cells,401,997.0,2480.0,2.1422797089733225,0.0208333333333333,32.3817,0.8725373977066072,0.9950124688279302,0.0024937655860349127,0.0,0.6034912718204489
child,GSM4029898_JB17003,other,Classical Monocytes,841,1202.0,2999.0,3.232,0.0387143900657414,17.822222,0.9416066431607492,1.0,0.0023781212841854932,0.0011890606420927466,0.7740784780023782
child,GSM4029898_JB17003,other,IFN-stimulated T Cells,55,994.0,2813.0,1.4583333333333333,0.0420382165605095,36.59297,0.9456032745521844,0.6545454545454545,0.07272727272727272,0.7090909090909091,0.7272727272727273
child,GSM4029898_JB17003,other,NK Cells,160,1272.5,2644.5,2.150728563362759,0.0203932979807058,15.3684625,0.9981588452048201,0.65625,0.00625,0.0,0.85
child,GSM4029898_JB17003,other,Non-classical Monocytes,551,1773.0,5240.0,2.39377618192699,0.0342465753424657,17.210377,0.9966589816969708,1.0,0.0,0.0,0.8874773139745916
child,GSM4029898_JB17003,other,Plasma Cells,15,2418.0,8591.0,4.178898290450699,0.1201248049921996,19.510925,0.7911782664839548,1.0,0.0,0.0,0.4666666666666667
child,GSM4029898_JB17003,other,Platelets,7,1368.0,2995.0,2.044653349001175,0.0497051390058972,18.817797,0.6285920209067096,0.8571428571428571,0.0,0.14285714285714285,0.42857142857142855
child,GSM4029898_JB17003,other,RBCs,2,610.5,1174.0,5.970683799359782,0.08042633656409509,24.2674255,0.2854396745253733,0.5,0.0,0.0,0.0
child,GSM4029898_JB17003,other,cDCs,36,2466.5,8519.0,2.6818165996574024,0.0709495234733498,21.482331000000002,0.8774264313369899,1.0,0.0,0.0,0.6111111111111112
child,GSM4029898_JB17003,other,pDCs,5,1931.0,6133.0,1.7606781871535704,0.1132075471698113,30.55784,0.9926533168020916,1.0,0.0,0.0,1.0
child,GSM4029898_JB17003,restored,CD4 T Cells,345,927.0,2423.0,1.5672913117546847,0.0518731988472622,39.24974,0.9789346646782586,0.6260869565217392,0.017391304347826087,1.0,0.8347826086956521
child,GSM4029898_JB17003,restored,CD8 T Cells,357,1110.0,3114.0,1.7932489451476792,0.0476451259583789,40.401245,0.9547030526335558,0.6078431372549019,0.5854341736694678,1.0,0.84593837535014
child,GSM4029899_JB17004,excluded_unrestored,Ribosomal/Low-quality,955,876.0,2313.0,1.7316017316017316,0.0482060312568787,39.13664,0.9062373278461178,0.4806282722513089,0.14764397905759163,0.0,0.6104712041884817
child,GSM4029899_JB17004,original_T,CD4 T Cells,520,1094.5,2958.5,1.4520722002821458,0.0552763819095477,36.474627999999996,0.7305949858012056,0.5884615384615385,0.01730769230769231,0.49423076923076925,0.4173076923076923
child,GSM4029899_JB17004,original_T,CD8 T Cells,345,1081.0,2557.0,1.9835329341317365,0.0294515910629654,27.318804,0.50659917576724,0.4666666666666667,0.3072463768115942,0.22028985507246376,0.2608695652173913
child,GSM4029899_JB17004,other,B Cells,444,916.0,2271.0,2.083714407505293,0.013653603034134,34.163338,0.8848873452240992,0.963963963963964,0.0,0.0,0.6328828828828829
child,GSM4029899_JB17004,other,Classical Monocytes,1472,993.0,2376.5,3.542390342497588,0.0421846341960464,18.475896,0.9633137941203055,1.0,0.0006793478260869565,0.0,0.8301630434782609
child,GSM4029899_JB17004,other,IFN-stimulated T Cells,28,1047.5,2840.5,1.4465098289985114,0.0459053412098347,40.0201815,0.8677498090005985,0.4642857142857143,0.14285714285714285,0.5,0.7142857142857143
child,GSM4029899_JB17004,other,NK Cells,264,1159.5,2552.5,1.8971572164995352,0.0218522372528616,22.382722,0.959503944737546,0.553030303030303,0.007575757575757576,0.0,0.6401515151515151
child,GSM4029899_JB17004,other,Non-classical Monocytes,592,1499.0,4383.0,2.4560097906111475,0.0382239382239382,20.712954500000002,0.9758574653084184,1.0,0.0033783783783783786,0.0,0.8378378378378378
child,GSM4029899_JB17004,other,Plasma Cells,2,917.0,2031.5,5.4975675022686445,0.06499116521492054,27.460628500000002,0.5580647912846001,1.0,0.0,0.0,0.5
child,GSM4029899_JB17004,other,Platelets,22,1337.0,3458.0,2.935993370129994,0.08830594988329105,18.098028,0.7238947589848268,1.0,0.0,0.0,0.45454545454545453
