cohort,sample,review_group,label,cells,n_genes_by_counts_median,total_counts_median,pct_counts_mt_median,doublet_score_median,ribosomal_percent_retained_genes_median,reference_probability_median,nonT_multimarker_flag_fraction,CD8_both_detected_fraction,same_restoration_gate_fraction,p08_fraction
child,GSM4029904_JB17015,other,IFN-stimulated T Cells,53,880.0,3927.0,3.5765722515602496,0.0377089542568355,55.355667,0.9549917738851048,0.5283018867924528,0.11320754716981132,0.7924528301886793,0.7735849056603774
child,GSM4029904_JB17015,other,NK Cells,464,969.0,2553.0,5.448145585006589,0.0102129680943709,28.974699,0.9908023825393029,0.41594827586206895,0.00646551724137931,0.0,0.8706896551724138
child,GSM4029904_JB17015,other,Non-classical Monocytes,979,1219.0,3885.0,6.553398058252427,0.0264907881827101,27.18163,0.9856846932909156,1.0,0.0,0.0,0.9213483146067416
child,GSM4029904_JB17015,other,Plasma Cells,19,2599.0,12758.0,4.332621826604297,0.0924137931034482,29.012983,0.8983131742943884,0.9473684210526315,0.05263157894736842,0.0,0.5263157894736842
child,GSM4029904_JB17015,other,Platelets,138,1286.0,3843.0,7.198232274842891,0.0609714088873578,25.086816,0.9699236372411804,1.0,0.0,0.036231884057971016,0.7318840579710145
child,GSM4029904_JB17015,other,RBCs,24,1011.0,5342.5,3.4977975237236802,0.0567527553873992,53.670441499999995,0.6915006194198281,0.6666666666666666,0.125,0.2916666666666667,0.4583333333333333
child,GSM4029904_JB17015,other,cDCs,65,2344.0,10157.0,4.673923898931389,0.0744387554155179,33.497417,0.6479340068966069,1.0,0.0,0.0,0.35384615384615387
child,GSM4029904_JB17015,other,pDCs,14,1919.5,7044.5,3.549200776936975,0.08505546379097995,39.184101999999996,0.9732249150900991,0.6428571428571429,0.0,0.0,0.5714285714285714
child,GSM4029904_JB17015,restored,CD4 T Cells,2271,802.0,3500.0,3.4501420646732512,0.0505050505050505,56.32589,0.96482646642404,0.46323205636283576,0.007926023778071334,1.0,0.8943196829590488
child,GSM4029904_JB17015,restored,CD8 T Cells,1265,917.0,4234.0,4.32326743428199,0.0505050505050505,56.281578,0.962309719162005,0.524901185770751,0.5438735177865612,1.0,0.8719367588932806
child,GSM4029905_JB17016,excluded_unrestored,Ribosomal/Low-quality,667,898.0,2934.0,1.25,0.0203896692342546,47.85769,0.7442326462204681,0.8440779610194903,0.095952023988006,0.0,0.4617691154422789
